asin,title,price,imUrl,description,brand
0001048791,"The Crucible: Performed by Stuart Pankin, Jerome Dempsey &amp; Cast",NULL,http://ecx.images-amazon.com/images/I/51MKP0T4DBL.jpg,NULL,NULL
0000143561,"Everyday Italian (with Giada de Laurentiis), Volume 1 (3 Pack): Italian Classics, Parties, Holidays",12.99,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,"3Pack DVD set - Italian Classics, Parties and Holidays.",NULL
0000037214,Purple Sequin Tiny Dancer Tutu Ballet Dance Fairy Princess Costume Accessory,6.99,http://ecx.images-amazon.com/images/I/31mCncNuAZL.jpg,NULL,Big Dreams
0000032069,Adult Ballet Tutu Cheetah Pink,7.89,http://ecx.images-amazon.com/images/I/51EzU6quNML._SX342_.jpg,NULL,BubuBibi
0000031909,Girls Ballet Tutu Neon Pink,7.0,http://ecx.images-amazon.com/images/I/41xBoP0FVzL._SY300_.jpg,High quality 3 layer ballet tutu. 12 inches in length,Unknown
0000032034,Adult Ballet Tutu Yellow,7.87,http://ecx.images-amazon.com/images/I/21GNUNIa1CL.jpg,NULL,BubuBibi
0000589012,Why Don't They Just Quit? DVD Roundtable Discussion: What Families and Friends need to Know About Addiction and Recovery,15.95,http://ecx.images-amazon.com/images/I/519%2B1kseM3L._SY300_.jpg,NULL,NULL
0001048775,Measure for Measure: Complete &amp; Unabridged,NULL,http://ecx.images-amazon.com/images/I/5166EBHDQYL.jpg,"William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.",NULL
0000031852,Girls Ballet Tutu Zebra Hot Pink,3.17,http://ecx.images-amazon.com/images/I/51fAmVkTbyL._SY300_.jpg,TUtu,Coxlures
0001048236,The Sherlock Holmes Audio Collection,9.26,http://ecx.images-amazon.com/images/I/51DH145C5JL.jpg,"&#34;One thing is certain, Sherlockians, put aside your Baring-GouldAnnotated, your Folio SocietyIllustrated-for the time being, the Oxford is the edition to curl up with on a winter's night&#34;--The Chicago Tribune&#34;An incomparable gift book; or, should you find it impossible to surrender up such treasures, the best of gifts to oneself&#34;--USA Today&#34;To the true Sherlockian, this will be a treasure; to otherwise diverted detective story fans, it is a rich lode for discovery&#34;--Denver Post&#34;The complete and authentic adventures of the legendary detective--expertly edited and annotated by a team of Holmes scholars....in a handsome, boxed set....A lovely gift&#34;--The Christian Science Monitor&#34;Here in nine volumes...are all the adventures of Holmes and Watson. Each book has an introduction, something new and fascinating for even the most devoted Holmesians plus a series of intelligent notes at the back of each volume.&#34;--Oxford Times&#34;TheOxford Sherlock Holmes, a new edition of the stories, is a splendid piece of publishing. Nine compact volumes, beautifully produced, each with a stimulating introduction; clear type, accurate texts, a handy chronology, a helpful bibliography. And, most valuable of all, explanatory notes running to 50 pages or more per volume.&#34; --John Gross, writing inSunday Telegraph--This text refers to thePaperbackedition.",NULL
0000401048,The rogue of publishers' row;: Confessions of a publisher (A Banner Book),NULL,http://ecx.images-amazon.com/images/I/41bchvIfgaL.jpg,NULL,NULL
0001019880,Classic Soul Winner's New Testament Bible,5.39,http://ecx.images-amazon.com/images/I/61LcHUdvS1L.jpg,NULL,NULL
0001048813,Archer Christmas 4 Tape Pack,NULL,http://ecx.images-amazon.com/images/I/41k5u0lr6NL.jpg,NULL,NULL
0001148427,Sonatas - For Piano,NULL,http://ecx.images-amazon.com/images/I/41tN4KuOXkL.jpg,NULL,NULL
0001057170,Classic Connolly Boxed Set (Vol 1 &amp; 2),NULL,http://ecx.images-amazon.com/images/I/51M65KR89XL.jpg,"[Editor's Note: The following is a combined review with CLASSIC CONNOLLY IN WORDS AND MUSIC.]--Those of you who enjoyed Billy Connolly's moving performance in the film MRS. BROWN may not know (or believe) that he began his professional life as a Glasgow folky and gained first fame as a stand-up comic. Now's your chance to catch up on his sordid past with these compilations from his club recordings of the '70s and '80s. He loves the shaggy dog story and the wicked song but doesn't mind flinging one-liners either. His raucous, scatological, profane humor is best enjoyed by heavy drinkers familiar with the Scottish tongue. The rest of us will get plenty of yuks from those punch lines we can decipher.  Y.R. &copy; AudioFile 2001, Portland, Maine--Copyright &#169; AudioFile, Portland, Maine",NULL
0001047566,Hand in Glove,NULL,http://ecx.images-amazon.com/images/I/51FWARNTHCL.jpg,NULL,NULL
0001053396,War Poems: An Anthology of Poetry from the 18th Cantury to the Present Day,17.99,http://ecx.images-amazon.com/images/I/51WTKK4V2DL.jpg,"Writing poetry has always been a way to express what is going on in the world around us. Unfortunately, sometimes what is around us is war. Acclaimed British actor Paul McGann reads poems that date from the eighteenth century to modern times in this moving audio anthology. McGann is originally from Liverpool, and he still retains a slight Northern accent. Its lilting cadence blends well with the rhythm and worldliness of these powerful poems. Although some of the pieces are well known, others are less so, and this makes the collection even more intriguing for lovers of literature.  R.A.P. &copy; AudioFile 2001, Portland, Maine--Copyright &#169; AudioFile, Portland, Maine",NULL
0000913154,The Way Things Work: An Illustrated Encyclopedia of Technology,23.26,http://ecx.images-amazon.com/images/I/7113akhDnTL.jpg,NULL,NULL
0000032050,Adult Ballet Tutu Purple,12.85,http://ecx.images-amazon.com/images/I/41TxNYG8cwL._SX342_.jpg,NULL,BubuBibi
