asin,title,description,price,also_bought_count,also_viewed_count,bought_together_count,buy_after_viewing_count,category
0001048775,Measure for Measure: Complete &amp; Unabridged,"William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.",NULL,0,0,0,0,0, Books
0000037214,Purple Sequin Tiny Dancer Tutu Ballet Dance Fairy Princess Costume Accessory,NULL,6.99,0,0,0,0,0," Clothing, Shoes & Jewelry Clothing, Shoes & Jewelry"
0001048236,The Sherlock Holmes Audio Collection,"&#34;One thing is certain, Sherlockians, put aside your Baring-GouldAnnotated, your Folio SocietyIllustrated-for the time being, the Oxford is the edition to curl up with on a winter's night&#34;--The Chicago Tribune&#34;An incomparable gift book; or, should you find it impossible to surrender up such treasures, the best of gifts to oneself&#34;--USA Today&#34;To the true Sherlockian, this will be a treasure; to otherwise diverted detective story fans, it is a rich lode for discovery&#34;--Denver Post&#34;The complete and authentic adventures of the legendary detective--expertly edited and annotated by a team of Holmes scholars....in a handsome, boxed set....A lovely gift&#34;--The Christian Science Monitor&#34;Here in nine volumes...are all the adventures of Holmes and Watson. Each book has an introduction, something new and fascinating for even the most devoted Holmesians plus a series of intelligent notes at the back of each volume.&#34;--Oxford Times&#34;TheOxford Sherlock Holmes, a new edition of the stories, is a splendid piece of publishing. Nine compact volumes, beautifully produced, each with a stimulating introduction; clear type, accurate texts, a handy chronology, a helpful bibliography. And, most valuable of all, explanatory notes running to 50 pages or more per volume.&#34; --John Gross, writing inSunday Telegraph--This text refers to thePaperbackedition.",9.26,0,0,0,0,0, Books
0000032069,Adult Ballet Tutu Cheetah Pink,NULL,7.89,1,0,0,0,0, Sports & Outdoors
0001048791,"The Crucible: Performed by Stuart Pankin, Jerome Dempsey &amp; Cast",NULL,NULL,0,0,0,0,0, Books
0000143561,"Everyday Italian (with Giada de Laurentiis), Volume 1 (3 Pack): Italian Classics, Parties, Holidays","3Pack DVD set - Italian Classics, Parties and Holidays.",12.99,0,0,0,0,0, Movies & TV
0000032034,Adult Ballet Tutu Yellow,NULL,7.87,0,0,0,0,0, Sports & Outdoors
0000031852,Girls Ballet Tutu Zebra Hot Pink,TUtu,3.17,0,0,0,0,0, Sports & Outdoors
0000031909,Girls Ballet Tutu Neon Pink,High quality 3 layer ballet tutu. 12 inches in length,7.0,1,0,0,0,0, Sports & Outdoors
0000589012,Why Don't They Just Quit? DVD Roundtable Discussion: What Families and Friends need to Know About Addiction and Recovery,NULL,15.95,0,0,0,0,0, Movies & TV
